CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE
APHU6349146,CMA CGM T.JEFFERSON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",13/7/21,20/7/21,26/8/21,1/9/21,2/9/21,1/9/21,Yes,3/9/21
FDCU0574040,ONE MANHATTAN,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",30/4/21,10/5/21,4/6/21,7/7/21,11/7/21,15/7/21,Yes,14/7/21
OOLU8619684,OOCL SOUTHAMPTON,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",4/4/21,11/4/21,27/4/21,18/5/21,22/5/21,24/5/21,,
FSCU8010642,MSC AURIGA,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",31/5/21,1/6/21,22/7/21,16/7/21,8/8/21,26/7/21,Yes,26/7/21
TCKU6977321,THALASSA AXIA,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Sokhna Port, As Suways, Egypt","Ain Sokhna, Suez Governorate, Egypt",22/3/21,24/3/21,17/4/21,,4/5/21,21/4/21,,
TRHU8229672,ONE MATRIX,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",3/6/21,13/6/21,14/7/21,9/7/21,31/7/21,24/8/21,Yes,15/7/21
HLBU2469434,SEASPAN ADONIS,JAS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",24/6/21,29/6/21,14/8/21,18/8/21,22/8/21,24/8/21,Yes,26/8/21
MSDU7271806,MSC VALERIA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",16/7/21,20/7/21,30/8/21,6/9/21,10/9/21,4/9/21,Yes,8/9/21
OOLU8232885,OOCL TAIPEI,CIF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",10/8/21,22/8/21,12/9/21,18/9/21,17/9/21,14/9/21,Yes,13/1/22
TRLU7212159,OOCL UTAH,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",19/3/21,22/3/21,11/4/21,17/4/21,21/4/21,21/4/21,,
FCIU9532719,COSCO SHIPPING SCORPIO,,"Hai'an, Jiangsu Sheng, China","Shanghai, Shanghai Shi, China","Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands",24/9/20,3/10/20,3/11/20,11/11/20,15/11/20,21/4/21,,
TCNU8609241,CMA CGM CHILE,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",6/7/21,9/7/21,12/8/21,19/8/21,19/8/21,24/8/21,Yes,19/8/21
CCLU5304604,,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/9/21,5/9/21,21/9/21,30/9/21,1/10/21,30/9/21,Yes,4/10/21
APHU7096910,CMA CGM CENTAURUS,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",14/5/21,14/5/21,23/7/21,12/8/21,16/8/21,1/7/21,Yes,18/8/21
OOLU9955180,,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",7/4/21,7/4/21,24/4/21,,11/5/21,9/6/21,Yes,10/6/21
HDMU6853527,ONE CONTRIBUTION,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",23/4/21,25/4/21,25/5/21,26/5/21,11/6/21,24/5/21,,
EGHU9367480,ONE MARVEL,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",5/6/21,5/6/21,,22/7/21,26/7/21,26/7/21,Yes,29/7/21
TXGU5604038,ONE MODERN,YUE SHENG,"Houston, Texas, United States","Houston, Texas, United States","Kaohsiung, Kaohsiung, Taiwan","Taichung, Taiwan, Taiwan",7/9/21,7/9/21,11/10/21,,28/10/21,18/9/21,Yes,28/8/21
FFAU2144735,CMA CGM TAGE,YUE SHENG,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",1/8/21,1/8/21,26/8/21,,12/9/21,27/8/21,Yes,
TGHU6481214,COSCO NETHERLANDS,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",27/7/21,20/8/21,7/9/21,18/9/21,20/9/21,17/9/21,Yes,25/9/21
HASU5151201,MSC DAMLA,CIF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",4/7/21,5/7/21,11/8/21,,28/8/21,17/9/21,Yes,18/9/21
MSCU5125666,MAERSK EUREKA,ALPHA,"Shekou, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States",,31/7/21,9/8/21,17/9/21,,4/10/21,25/9/21,Yes,29/9/21
TRHU8536935,MSC EVA,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,20/5/21,14/7/21,7/8/21,11/8/21,29/6/21,,
MSMU7277776,MSC AURIGA,GWW,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",28/5/21,28/5/21,7/7/21,25/7/21,29/7/21,30/7/21,Yes,30/7/21
HMMU6256068,EVER SAFETY,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",10/7/21,11/7/21,11/9/21,1/1/00,17/9/21,13/9/21,Yes,17/9/21
MEDU4518599,MAERSK ESSEX,LONGSAIL,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",28/6/21,29/6/21,17/8/21,19/8/21,3/9/21,17/9/21,Yes,24/8/21
TRHU6584683,OOCL SOUTHAMPTON,Axiom,"Dallas, Texas, United States","Long Beach, California, United States","Busan, Busan, South Korea","Busan, Busan, South Korea",28/6/21,15/7/21,7/8/21,7/8/21,24/8/21,31/7/21,Yes,18/6/21
HMCU9224824,EVER ETHIC,,"Vancouver, British Columbia, Canada","Vancouver, British Columbia, Canada","Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China",28/9/21,28/9/21,31/10/21,,17/11/21,2/10/21,,
MEDU8889577,MSC TAMARA,,"Tekirdag, Tekirdag, Turkey","Tekirdag, Tekirdag, Turkey","Altamira, Estado de Tamaulipas, Mexico",,12/4/21,12/4/21,,,,21/4/21,,
TCLU8532604,EVER SAFETY,INTERNATIONAL,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",4/8/21,4/8/21,9/9/21,1/1/00,26/9/21,11/9/21,Yes,17/9/21
MSMU7966076,MSC ORION,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",19/5/21,20/5/21,15/7/21,10/7/21,1/8/21,19/7/21,Yes,19/7/21
BMOU5357456,CMA CGM G.WASHINGTON,LF,"Thuan An, Tinh Quang Nam, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",17/6/21,19/6/21,8/8/21,20/8/21,24/8/21,24/8/21,Yes,23/8/21
TGBU6283161,COSCO SANTOS,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",22/8/21,22/8/21,,1/10/21,1/10/21,2/10/21,,1/10/21
HLBU2464216,SUI HAI YUN 693,,,"Huangpu, Guangdong Sheng, China","Casablanca, Casablanca-Settat, Morocco","Casablanca, Casablanca-Settat, Morocco",14/12/20,14/12/20,13/2/21,19/2/21,19/2/21,21/4/21,,
OOCU7706094,COSCO SHIPPING ANDES,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",5/4/21,14/4/21,29/4/21,17/5/21,21/5/21,24/5/21,Yes,19/5/21
CSNU4075501,XIN TAI CANG,,"Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",22/1/21,24/1/21,26/3/21,30/3/21,3/4/21,21/4/21,,
OOLU4437315,COSCO SPAIN,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",4/1/21,11/1/21,30/1/21,12/2/21,16/2/21,21/4/21,,
OOLU6824838,OOCL LONDON,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",3/1/21,10/1/21,1/2/21,12/2/21,16/2/21,21/4/21,,
OOLU2927165,COSCO SHIPPING DENALI,,"Dallas, Texas, United States","Long Beach, California, United States","Huangpu, Guangdong Sheng, China","Huangpu, Guangdong Sheng, China",10/12/20,28/12/20,1/2/21,4/2/21,18/2/21,21/4/21,,
OOLU8660836,COSCO ITALY,,"Shekou, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",10/3/21,20/3/21,7/4/21,21/4/21,25/4/21,21/4/21,,
OOLU6857960,OOCL LONDON,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",26/3/21,4/4/21,20/4/21,18/5/21,22/5/21,24/5/21,Yes,21/5/21
OOLU0360030,NORDTIGER,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",27/1/21,5/2/21,31/3/21,19/4/21,19/4/21,21/4/21,,
FFAU3236040,OOCL TOKYO,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",31/1/21,5/2/21,21/2/21,6/3/21,10/3/21,21/4/21,Yes,
FDCU0502950,ONE HANOI,,"Nagoya, Aichi-ken, Japan","Nagoya, Aichi-ken, Japan","Izmit, Kocaeli, Turkey","Izmit, Kocaeli, Turkey",25/3/21,30/3/21,8/5/21,9/5/21,25/5/21,21/4/21,,
CCLU4746047,COSCO AUCKLAND,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",24/2/21,26/2/21,12/4/21,15/4/21,29/4/21,21/4/21,,
CAIU4598470,MSC SONIA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",16/7/21,17/7/21,2/9/21,12/9/21,16/9/21,10/9/21,Yes,13/9/21
FCIU9540313,,Axiom,,,,"Los Angeles, California, United States",,,,10/7/21,10/7/21,15/7/21,Yes,1/7/21
MSDU8345170,MSC CANDICE,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Vancouver, British Columbia, Canada","Montreal, Quebec, Canada",19/1/21,20/1/21,9/3/21,30/3/21,3/4/21,21/4/21,,
OOLU9697167,ST GREEN,,"Pelabuhan Klang, Selangor, Malaysia","Pelabuhan Klang, Selangor, Malaysia","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",26/3/21,1/4/21,3/4/21,,20/4/21,21/4/21,,
OOCU7711629,EVER GLOBE,,"Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands","Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China",26/2/21,15/3/21,25/4/21,25/4/21,12/5/21,21/4/21,,
TCNU1371721,AMALIA C,,", Taiwan, China",", Taiwan, China","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",19/12/18,21/12/18,31/12/18,3/1/19,17/1/19,21/4/21,,
HLXU5212597,FANG ZHOU 2,JAS,"Zhuhai, , China","Zhuhai, , China","Los Angeles, California, United States","Dallas, Texas, United States",15/4/21,15/4/21,21/5/21,1/6/21,5/6/21,6/9/21,Yes,17/6/21
TGHU8837691,CMA CGM G.WASHINGTON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",17/6/21,19/6/21,8/8/21,18/8/21,22/8/21,24/8/21,Yes,31/8/21
MSDU8327962,MSC TARANTO,,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Ciudad Lazaro Cardenas, Estado de Michoacan de Ocampo, Mexico","Mexico City, Ciudad de Mexico, Mexico",15/3/21,17/3/21,22/4/21,,9/5/21,21/4/21,,
ONEU0149860,ONE COMMITMENT,JAS,"Uran, State of Maharashtra, India","Jawaharlal Nehru, State of Maharashtra, India","Los Angeles, California, United States","Los Angeles, California, United States",28/4/21,9/5/21,13/7/21,2/7/21,30/7/21,30/7/21,Yes,2/8/21
SUDU8602750,MAERSK DENVER,,"Karachi, Sindh, Pakistan","Port Muhammad Bin Qasim, Sindh, Pakistan","Savannah, Georgia, United States","Savannah, Georgia, United States",6/3/21,8/3/21,29/4/21,,16/5/21,21/4/21,,
TLLU4505403,APL SALALAH,,", Hong Kong, China",", Hong Kong, China","Port of Spain, City of Port of Spain, Trinidad and Tobago","Port of Spain, City of Port of Spain, Trinidad and Tobago",25/10/19,25/10/19,21/12/19,2/1/20,6/1/20,21/4/21,,
HLBU3302863,ALS MARS,JAS,,"Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",24/4/21,24/4/21,14/6/21,21/6/21,21/6/21,29/6/21,Yes,21/6/21
UACU5425659,HYUNDAI JUPITER,,,"Shanghai Hongqiao International, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",26/1/21,26/1/21,9/3/21,22/3/21,22/3/21,21/4/21,,
FFAU3238470,COSCO SPAIN,,"Long Beach, California, United States","Long Beach, California, United States","Kaohsiung, Kaohsiung, Taiwan","Keelung, Taiwan, Taiwan",18/3/21,26/3/21,10/4/21,,27/4/21,21/4/21,,
TEMU6038610,COSCO JAPAN,,"Subic, Central Luzon, Philippines","Subic, Central Luzon, Philippines","Long Beach, California, United States","Los Angeles, California, United States",2/12/20,3/12/20,2/2/21,5/2/21,19/2/21,21/4/21,,
FCIU7507229,COSCO INDONESIA,,"Navi Mumbai, State of Maharashtra, India","Jawaharlal Nehru, State of Maharashtra, India","Long Beach, California, United States","Long Beach, California, United States",21/8/19,29/8/19,22/10/19,30/10/19,30/10/19,21/4/21,,
CMAU5056603,MONTE VERDE,,,"Beirut, Beyrouth, Lebanon","Lagos, Lagos State, Nigeria","Lagos, Lagos State, Nigeria",26/12/20,26/12/20,24/3/21,14/4/21,14/4/21,21/4/21,,
CMAU2159001,CMA CGM VIRGINIA,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",13/5/21,14/5/21,3/6/21,15/6/21,19/6/21,20/6/21,Yes,22/6/21
XINU8237854,CMA CGM G.WASHINGTON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",16/6/21,19/6/21,8/8/21,18/8/21,22/8/21,20/8/21,Yes,23/8/21
OOCU7810914,COSCO SHIPPING DENALI,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",23/4/21,7/5/21,23/5/21,18/6/21,22/6/21,21/6/21,Yes,23/6/21
MSDU7022953,MSC AURIGA,GWW,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",29/5/21,29/5/21,19/7/21,16/7/21,5/8/21,22/7/21,Yes,22/7/21
CSNU7537120,OOCL TOKYO,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",14/3/21,19/3/21,4/4/21,10/4/21,14/4/21,21/4/21,,
OOCU8398294,COSCO SHIPPING ARIES,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands",11/3/21,20/3/21,1/5/21,4/5/21,18/5/21,21/4/21,,
BEAU4536827,YM CELEBRITY,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",,,14/5/21,,31/5/21,21/4/21,,
OOLU8616746,AMALIA C,,"Long Beach, California, United States","Long Beach, California, United States","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",17/4/21,26/4/21,10/5/21,11/5/21,27/5/21,21/4/21,,
CAAU5922805,MSC EVA,CIF,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",23/5/21,23/5/21,2/8/21,7/8/21,11/8/21,8/8/21,Yes,12/8/21
EITU1898639,TOKYO TOWER,Evergreen,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",17/4/21,17/4/21,,10/7/21,14/7/21,15/7/21,Yes,15/7/21
TEMU8657717,CMA CGM ELBE,CIF,"Shekou, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",24/5/21,25/5/21,23/6/21,30/6/21,4/7/21,16/8/21,Yes,6/7/21
MOAU7724393,ONE THESEUS,JAS,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",8/7/21,17/7/21,23/9/21,30/7/21,10/10/21,12/10/21,Yes,14/10/21
TRHU4315140,COSCO PORTUGAL,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",17/7/21,27/7/21,13/8/21,20/8/21,24/8/21,23/8/21,Yes,26/8/21
FFAU2729653,COSCO VALENCIA,Yuesheng,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",22/8/21,31/8/21,26/9/21,27/9/21,28/9/21,25/9/21,Yes,28/9/21
MEDU8458754,MSC SONIA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",22/7/21,23/7/21,3/9/21,9/9/21,10/9/21,10/9/21,Yes,10/9/21
TCNU6074710,COSCO ITALY,CIF,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",12/6/21,5/7/21,29/7/21,5/8/21,9/8/21,24/8/21,Yes,9/8/21
MEDU7194528,MSC AURIGA,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",30/5/21,31/5/21,23/7/21,20/7/21,9/8/21,30/7/21,Yes,27/7/21
SLSU8002037,MSC SONIA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",21/7/21,22/7/21,8/9/21,12/9/21,16/9/21,14/9/21,Yes,17/9/21
DRYU9282675,CMA CGM ALMAVIVA,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",4/8/21,4/8/21,1/9/21,1/1/00,18/9/21,1/9/21,Yes,8/9/21
TCNU2966339,APL SENTOSA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",2/8/21,8/8/21,19/9/21,27/9/21,1/10/21,25/9/21,Yes,29/9/21
MSMU5531686,MAERSK EMDEN,GSIT,"Mawan, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Los Angeles, California, United States",1/7/21,1/7/21,25/8/21,1/9/21,5/9/21,4/9/21,Yes,1/9/21
tgbu4650083,,,,,,,,,,,,,,
OOCU8050890,,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",24/8/21,24/8/21,21/9/21,29/9/21,3/10/21,30/9/21,Yes,1/10/21
TCNU7265373,ONE MANHATTAN,LF,"Dong Nai, , Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",5/5/21,10/5/21,3/6/21,6/7/21,10/7/21,26/7/21,Yes,13/7/21
HMCU9035008,UNI-PATRIOT,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",21/3/21,21/3/21,,15/6/21,19/6/21,15/6/21,Yes,15/6/21
TCLU9144455,COSCO VENICE,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",3/6/21,3/6/21,,16/7/21,20/7/21,22/7/21,Yes,14/7/21
TGBU8560239,COSCO VENICE,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States",,27/5/21,28/5/21,9/7/21,,26/7/21,19/7/21,Yes,20/7/21
CSNU7586022,CMA CGM LYRA,Ningbo Yue Sheng Int¿l Freight,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Los Angeles, California, United States","Edgerton, Kansas, United States",16/6/21,27/6/21,24/7/21,17/8/21,21/8/21,23/8/21,,
CSLU6022545,COSCO NETHERLANDS,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",5/6/21,12/6/21,14/7/21,22/7/21,26/7/21,23/8/21,Yes,29/7/21
TGBU6990740,ONE MANEUVER,CIF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",25/6/21,25/6/21,,9/8/21,13/8/21,24/8/21,,
TEMU 6412968,,,,,,,,,,,,,,
FCIU9179561,MSC AURIGA,GWW,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",1/6/21,2/6/21,26/7/21,24/7/21,12/8/21,24/8/21,Yes,28/7/21
CAIU9588936,,Axiom,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",5/7/21,5/7/21,26/7/21,31/7/21,4/8/21,24/8/21,Yes,3/8/21
FSCU8966324,MAERSK ESSEX,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",23/4/21,24/4/21,16/6/21,17/6/21,3/7/21,18/6/21,,
MSDU8336202,MSC ALTAIR,MSC,"Tianjin Xin Gang, Tianjin Shi, China","Tianjin Xin Gang, Tianjin Shi, China","Long Beach, California, United States","Long Beach, California, United States",24/7/21,29/7/21,1/10/21,7/10/21,11/10/21,19/10/21,Yes,22/10/21
CSNU7568820,,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",3/5/21,3/5/21,21/5/21,,7/6/21,12/7/21,Yes,10/6/21
GAOU6558161,ONE MARVEL,YUE SHENG,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",3/6/21,19/6/21,20/7/21,14/7/21,6/8/21,24/8/21,Yes,22/7/21
OOLU8442080,COSCO ITALY,CIF,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",19/6/21,5/7/21,3/8/21,10/8/21,14/8/21,24/8/21,Yes,17/8/21
DFSU1372583,,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",24/4/21,24/4/21,10/6/21,,27/6/21,29/6/21,Yes,29/6/21
GAOU6590820,YM WHOLESOME,JAS,"Zhuhai, Guangdong Sheng, China","Hong Kong, Central and Western District, Hong Kong","Long Beach, California, United States","Dallas, Texas, United States",15/6/21,15/7/21,14/8/21,24/8/21,28/8/21,24/8/21,,
JZPU4016209,,,,,,,,,,,,,,
OOCU7654766,COSCO PORTUGAL,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",6/7/21,20/7/21,13/8/21,21/8/21,23/8/21,24/8/21,Yes,24/8/21
FFAU3195779,COSCO PORTUGAL,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",6/7/21,20/7/21,13/8/21,21/8/21,23/8/21,24/8/21,Yes,24/8/21
MSDU8210791,MSC VALERIA,LF,"Thuan An, Tinh Quang Nam, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",16/7/21,17/7/21,29/8/21,4/9/21,8/9/21,6/9/21,Yes,9/9/21
FCIU9823376,HR FARHA,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Long Beach, California, United States","Dallas, Texas, United States",17/6/21,17/6/21,23/8/21,31/8/21,31/8/21,1/9/21,Yes,9/9/21
