CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE
TCNU4822496,YM WELLNESS,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",10/7/21,19/7/21,22/8/21,2/9/21,30/8/21,24/8/21,Yes,31/8/21
TGBU5006310,CSCL SPRING,HUAYI,,,,,,,,,,,Yes,30/7/21
OOLU9354229,,,"Xiamen, Fujian Sheng, China","Xiamen, Fujian Sheng, China","Los Angeles, California, United States","Phoenix, Arizona, United States",20/6/21,20/6/21,3/7/21,,20/7/21,18/6/21,,
SEKU4663129,CMA CGM TANCREDI,YUE SHENG,,,,,,,,,,,Yes,27/7/21
TGBU6535978,NORTHERN JUVENILE,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",15/7/21,15/7/21,,20/8/21,24/8/21,28/8/21,Yes,25/8/21
CAAU5764490,COSCO PIRAEUS,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",5/7/21,5/7/21,,13/8/21,17/8/21,16/8/21,Yes,17/8/21
ARTU4517410,YM UBIQUITY,CIF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Los Angeles, California, United States",16/6/21,22/6/21,16/7/21,9/8/21,13/8/21,19/8/21,Yes,11/8/21
APHU6437680,KOWLOON BAY,Axiom,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",4/6/21,4/6/21,26/6/21,13/7/21,17/7/21,19/7/21,Yes,16/7/21
EBEAU4366799,,,,,,,,,,,,,,
GCXU2283957,ARGUS,JAS,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",20/6/21,27/6/21,14/7/21,4/8/21,8/8/21,24/8/21,Yes,9/8/21
OOCU9003594,COSCO PIRAEUS,YUE SHENG,"Houston, Texas, United States","Houston, Texas, United States","Ningbo, Zhejiang Sheng, China",,26/7/21,29/7/21,6/9/21,,23/9/21,17/8/21,,
CAAU5571402,ALS MARS,JAS,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",24/6/21,28/6/21,16/8/21,20/8/21,23/8/21,24/8/21,,
FSCU8419203,CMA CGM LAMARTINE,Yuesheng,"Houston, Texas, United States","Houston, Texas, United States","Kotka, Kymenlaakso, Finland","Kotka, Kymenlaakso, Finland",21/9/21,21/9/21,19/10/21,,5/11/21,17/9/21,Yes,3/9/21
TCLU4664475,MOL PRESTIGE,JAS,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",26/5/21,7/6/21,22/6/21,20/7/21,20/7/21,24/8/21,Yes,26/7/21
UETU2773697,ARGUS,JAS,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",21/6/21,27/6/21,14/7/21,4/8/21,8/8/21,7/8/21,Yes,9/8/21
CMAU7713163,CMA CGM PANAMA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",4/4/21,9/4/21,9/5/21,19/5/21,23/5/21,15/7/21,Yes,26/5/21
TCNU8401664,NORTHERN JUVENILE,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",7/5/21,8/5/21,6/6/21,15/6/21,19/6/21,28/6/21,Yes,18/6/21
ZCSU8691444,ALEXANDER BAY,,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Los Angeles, California, United States",18/6/21,21/6/21,8/7/21,,25/7/21,5/7/21,,
EISU8206662,CMA CGM LA SCALA,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",6/7/21,6/7/21,,18/8/21,22/8/21,6/9/21,Yes,16/8/21
